CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
00.332.266/0001-31;2023-01-01;1;10274675.79;608108.81;0;0;9666566.98;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6692138.19;5870010.69;0;822127.5;3510027.12;108521.79;0;0;0;650002.6;0;0;0;3771711.48;8040262.99
00.332.266/0001-31;2023-02-01;1;12332621.08;341229.87;0;0;11991391.21;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5913908.98;5065242.33;0;848666.65;1771776.41;108444.7;0;0;0;650002.6;0;0;0;6501443.14;9031666.85
00.332.266/0001-31;2023-03-01;1;10862137.83;1026273.82;0;0;9835864.01;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7110480.91;6241128.72;0;869352.19;2334224.94;108444.7;0;0;0;650002.6;0;0;0;4404680.53;7497352.77
00.332.266/0001-31;2023-04-01;1;10667115.98;3214426.24;0;0;7452689.74;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7789804.1;6935777.95;0;854026.15;2837142.9;108444.7;0;0;0;650002.6;0;0;0;4464417.58;8060007.78
00.332.266/0001-31;2023-05-01;1;9807274.21;440663.05;0;0;9366611.16;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;6402968.18;5574857.38;0;828110.8;1937756.72;108444.7;0;0;0;650002.6;0;0;0;4360440.37;7056644.39
00.332.266/0001-31;2023-06-01;2;14817381.76;300895.43;0;0;14516486.33;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;9414735.43;8591034.62;0;823700.81;5078042.51;105112.97;0;0;0;650002.6;0;0;0;6317660.9;12150818.98
00.332.266/0001-31;2023-07-01;2;11866760.82;1001669.99;0;0;10865090.83;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7957705.3;7137955.98;0;819749.32;3227612.06;105112.97;0;0;0;650002.6;0;0;0;4357331.32;8340058.95
00.332.266/0001-31;2023-08-01;1;12261086.26;192112.66;0;0;12068973.6;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7501019.76;6685680.43;0;815339.33;3397326.32;105112.96;0;0;0;650002.6;0;0;0;4665883.66;8818325.54
00.332.266/0001-31;2023-09-01;1;11527174.89;487738.28;0;0;11039436.61;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;7115716.13;6305245.29;0;810470.84;3396010.28;105112.96;0;0;0;650002.6;0;0;0;4032405.2;8183531.04
00.332.266/0001-31;2023-10-01;1;10392760.58;175425.39;0;0;10217335.19;527198900;527198900;0;527198900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;5364128.94;4558068.09;0;806060.85;2277142.29;105112.97;0;0;0;650002.6;0;0;0;4020505.43;7052763.29
